Date,Dish,QtySold,PriceTk,RevenueTk,DayIndex,Weekday
01-Jan-2021,Rice & Dal Thali,95,80,7600,0,Friday
01-Jan-2021,Fish Curry Plate,79,120,9480,0,Friday
01-Jan-2021,Vegetable Khichuri,49,70,3430,0,Friday
01-Jan-2021,Dry Fish & Rice,66,100,6600,0,Friday
01-Jan-2021,Special Thali,31,160,4960,0,Friday
02-Jan-2021,Rice & Dal Thali,71,80,5680,1,Saturday
02-Jan-2021,Fish Curry Plate,60,120,7200,1,Saturday
02-Jan-2021,Vegetable Khichuri,44,70,3080,1,Saturday
02-Jan-2021,Dry Fish & Rice,55,100,5500,1,Saturday
02-Jan-2021,Special Thali,39,160,6240,1,Saturday
03-Jan-2021,Rice & Dal Thali,85,80,6800,2,Sunday
03-Jan-2021,Fish Curry Plate,47,120,5640,2,Sunday
03-Jan-2021,Vegetable Khichuri,33,70,2310,2,Sunday
03-Jan-2021,Dry Fish & Rice,37,100,3700,2,Sunday
03-Jan-2021,Special Thali,31,160,4960,2,Sunday
04-Jan-2021,Rice & Dal Thali,105,80,8400,3,Monday
04-Jan-2021,Fish Curry Plate,50,120,6000,3,Monday
04-Jan-2021,Vegetable Khichuri,32,70,2240,3,Monday
04-Jan-2021,Dry Fish & Rice,44,100,4400,3,Monday
04-Jan-2021,Special Thali,34,160,5440,3,Monday
05-Jan-2021,Rice & Dal Thali,83,80,6640,4,Tuesday
05-Jan-2021,Fish Curry Plate,39,120,4680,4,Tuesday
05-Jan-2021,Vegetable Khichuri,40,70,2800,4,Tuesday
05-Jan-2021,Dry Fish & Rice,50,100,5000,4,Tuesday
05-Jan-2021,Special Thali,35,160,5600,4,Tuesday
06-Jan-2021,Rice & Dal Thali,52,80,4160,5,Wednesday
06-Jan-2021,Fish Curry Plate,47,120,5640,5,Wednesday
06-Jan-2021,Vegetable Khichuri,44,70,3080,5,Wednesday
06-Jan-2021,Dry Fish & Rice,61,100,6100,5,Wednesday
06-Jan-2021,Special Thali,37,160,5920,5,Wednesday
07-Jan-2021,Rice & Dal Thali,65,80,5200,6,Thursday
07-Jan-2021,Fish Curry Plate,59,120,7080,6,Thursday
07-Jan-2021,Vegetable Khichuri,37,70,2590,6,Thursday
07-Jan-2021,Dry Fish & Rice,44,100,4400,6,Thursday
07-Jan-2021,Special Thali,28,160,4480,6,Thursday
08-Jan-2021,Rice & Dal Thali,111,80,8880,7,Friday
08-Jan-2021,Fish Curry Plate,86,120,10320,7,Friday
08-Jan-2021,Vegetable Khichuri,43,70,3010,7,Friday
08-Jan-2021,Dry Fish & Rice,68,100,6800,7,Friday
08-Jan-2021,Special Thali,40,160,6400,7,Friday
09-Jan-2021,Rice & Dal Thali,112,80,8960,8,Saturday
09-Jan-2021,Fish Curry Plate,70,120,8400,8,Saturday
09-Jan-2021,Vegetable Khichuri,48,70,3360,8,Saturday
09-Jan-2021,Dry Fish & Rice,61,100,6100,8,Saturday
09-Jan-2021,Special Thali,45,160,7200,8,Saturday
10-Jan-2021,Rice & Dal Thali,65,80,5200,9,Sunday
10-Jan-2021,Fish Curry Plate,63,120,7560,9,Sunday
10-Jan-2021,Vegetable Khichuri,43,70,3010,9,Sunday
10-Jan-2021,Dry Fish & Rice,58,100,5800,9,Sunday
10-Jan-2021,Special Thali,19,160,3040,9,Sunday
11-Jan-2021,Rice & Dal Thali,81,80,6480,10,Monday
11-Jan-2021,Fish Curry Plate,46,120,5520,10,Monday
11-Jan-2021,Vegetable Khichuri,36,70,2520,10,Monday
11-Jan-2021,Dry Fish & Rice,30,100,3000,10,Monday
11-Jan-2021,Special Thali,29,160,4640,10,Monday
12-Jan-2021,Rice & Dal Thali,77,80,6160,11,Tuesday
12-Jan-2021,Fish Curry Plate,41,120,4920,11,Tuesday
12-Jan-2021,Vegetable Khichuri,34,70,2380,11,Tuesday
12-Jan-2021,Dry Fish & Rice,52,100,5200,11,Tuesday
12-Jan-2021,Special Thali,30,160,4800,11,Tuesday
13-Jan-2021,Rice & Dal Thali,97,80,7760,12,Wednesday
13-Jan-2021,Fish Curry Plate,71,120,8520,12,Wednesday
13-Jan-2021,Vegetable Khichuri,41,70,2870,12,Wednesday
13-Jan-2021,Dry Fish & Rice,46,100,4600,12,Wednesday
13-Jan-2021,Special Thali,22,160,3520,12,Wednesday
14-Jan-2021,Rice & Dal Thali,52,80,4160,13,Thursday
14-Jan-2021,Fish Curry Plate,49,120,5880,13,Thursday
14-Jan-2021,Vegetable Khichuri,35,70,2450,13,Thursday
14-Jan-2021,Dry Fish & Rice,51,100,5100,13,Thursday
14-Jan-2021,Special Thali,36,160,5760,13,Thursday
15-Jan-2021,Rice & Dal Thali,102,80,8160,14,Friday
15-Jan-2021,Fish Curry Plate,70,120,8400,14,Friday
15-Jan-2021,Vegetable Khichuri,45,70,3150,14,Friday
15-Jan-2021,Dry Fish & Rice,63,100,6300,14,Friday
15-Jan-2021,Special Thali,28,160,4480,14,Friday
16-Jan-2021,Rice & Dal Thali,104,80,8320,15,Saturday
16-Jan-2021,Fish Curry Plate,72,120,8640,15,Saturday
16-Jan-2021,Vegetable Khichuri,30,70,2100,15,Saturday
16-Jan-2021,Dry Fish & Rice,45,100,4500,15,Saturday
16-Jan-2021,Special Thali,40,160,6400,15,Saturday
17-Jan-2021,Rice & Dal Thali,87,80,6960,16,Sunday
17-Jan-2021,Fish Curry Plate,54,120,6480,16,Sunday
17-Jan-2021,Vegetable Khichuri,32,70,2240,16,Sunday
