RecordDate,DishName,PortionsSold,RecipeYield_g,SalePrice_BDT,FoodCost_BDT,GrossProfit_BDT,DayType,day_idx
2022-01-01,Mutton Biryani,53,450,550,165.0,20405.0,Weekend,0
2022-01-01,Hilsha Fry,28,380,480,144.0,9408.0,Weekend,0
2022-01-01,Dal Makhani,36,320,180,54.0,4536.0,Weekend,0
2022-01-01,Mughlai Paratha,68,500,120,36.0,5712.0,Weekend,0
2022-01-01,Mutton Korma,35,280,420,126.0,10290.0,Weekend,0
2022-01-02,Mutton Biryani,34,450,550,165.0,13090.0,Weekend,1
2022-01-02,Hilsha Fry,18,380,480,144.0,6048.0,Weekend,1
2022-01-02,Dal Makhani,19,320,180,54.0,2394.0,Weekend,1
2022-01-02,Mughlai Paratha,43,500,120,36.0,3612.0,Weekend,1
2022-01-02,Mutton Korma,20,280,420,126.0,5880.0,Weekend,1
2022-01-03,Mutton Biryani,36,450,550,165.0,13860.0,Weekday,2
2022-01-03,Hilsha Fry,21,380,480,144.0,7056.0,Weekday,2
2022-01-03,Dal Makhani,21,320,180,54.0,2646.0,Weekday,2
2022-01-03,Mughlai Paratha,43,500,120,36.0,3612.0,Weekday,2
2022-01-03,Mutton Korma,26,280,420,126.0,7644.0,Weekday,2
2022-01-04,Mutton Biryani,31,450,550,165.0,11935.0,Weekday,3
2022-01-04,Hilsha Fry,17,380,480,144.0,5712.0,Weekday,3
2022-01-04,Dal Makhani,27,320,180,54.0,3402.0,Weekday,3
2022-01-04,Mughlai Paratha,43,500,120,36.0,3612.0,Weekday,3
2022-01-04,Mutton Korma,26,280,420,126.0,7644.0,Weekday,3
2022-01-05,Mutton Biryani,35,450,550,165.0,13475.0,Weekday,4
2022-01-05,Hilsha Fry,16,380,480,144.0,5376.0,Weekday,4
2022-01-05,Dal Makhani,22,320,180,54.0,2772.0,Weekday,4
2022-01-05,Mughlai Paratha,46,500,120,36.0,3864.0,Weekday,4
2022-01-05,Mutton Korma,14,280,420,126.0,4116.0,Weekday,4
2022-01-06,Mutton Biryani,36,450,550,165.0,13860.0,Weekday,5
2022-01-06,Hilsha Fry,17,380,480,144.0,5712.0,Weekday,5
2022-01-06,Dal Makhani,23,320,180,54.0,2898.0,Weekday,5
2022-01-06,Mughlai Paratha,53,500,120,36.0,4452.0,Weekday,5
2022-01-06,Mutton Korma,22,280,420,126.0,6468.0,Weekday,5
2022-01-07,Mutton Biryani,44,450,550,165.0,16940.0,Weekend,6
2022-01-07,Hilsha Fry,33,380,480,144.0,11088.0,Weekend,6
2022-01-07,Dal Makhani,39,320,180,54.0,4914.0,Weekend,6
2022-01-07,Mughlai Paratha,54,500,120,36.0,4536.0,Weekend,6
2022-01-07,Mutton Korma,37,280,420,126.0,10878.0,Weekend,6
2022-01-08,Mutton Biryani,61,450,550,165.0,23485.0,Weekend,7
2022-01-08,Hilsha Fry,33,380,480,144.0,11088.0,Weekend,7
2022-01-08,Dal Makhani,38,320,180,54.0,4788.0,Weekend,7
2022-01-08,Mughlai Paratha,58,500,120,36.0,4872.0,Weekend,7
2022-01-08,Mutton Korma,36,280,420,126.0,10584.0,Weekend,7
2022-01-09,Mutton Biryani,35,450,550,165.0,13475.0,Weekend,8
2022-01-09,Hilsha Fry,17,380,480,144.0,5712.0,Weekend,8
2022-01-09,Dal Makhani,28,320,180,54.0,3528.0,Weekend,8
2022-01-09,Mughlai Paratha,41,500,120,36.0,3444.0,Weekend,8
2022-01-09,Mutton Korma,31,280,420,126.0,9114.0,Weekend,8
2022-01-10,Mutton Biryani,29,450,550,165.0,11165.0,Weekday,9
2022-01-10,Hilsha Fry,26,380,480,144.0,8736.0,Weekday,9
2022-01-10,Dal Makhani,19,320,180,54.0,2394.0,Weekday,9
2022-01-10,Mughlai Paratha,44,500,120,36.0,3696.0,Weekday,9
2022-01-10,Mutton Korma,19,280,420,126.0,5586.0,Weekday,9
2022-01-11,Mutton Biryani,25,450,550,165.0,9625.0,Weekday,10
2022-01-11,Hilsha Fry,24,380,480,144.0,8064.0,Weekday,10
2022-01-11,Dal Makhani,20,320,180,54.0,2520.0,Weekday,10
2022-01-11,Mughlai Paratha,40,500,120,36.0,3360.0,Weekday,10
2022-01-11,Mutton Korma,19,280,420,126.0,5586.0,Weekday,10
2022-01-12,Mutton Biryani,34,450,550,165.0,13090.0,Weekday,11
2022-01-12,Hilsha Fry,22,380,480,144.0,7392.0,Weekday,11
2022-01-12,Dal Makhani,13,320,180,54.0,1638.0,Weekday,11
2022-01-12,Mughlai Paratha,47,500,120,36.0,3948.0,Weekday,11
2022-01-12,Mutton Korma,20,280,420,126.0,5880.0,Weekday,11
2022-01-13,Mutton Biryani,45,450,550,165.0,17325.0,Weekday,12
2022-01-13,Hilsha Fry,25,380,480,144.0,8400.0,Weekday,12
2022-01-13,Dal Makhani,31,320,180,54.0,3906.0,Weekday,12
2022-01-13,Mughlai Paratha,20,500,120,36.0,1680.0,Weekday,12
2022-01-13,Mutton Korma,31,280,420,126.0,9114.0,Weekday,12
2022-01-14,Mutton Biryani,49,450,550,165.0,18865.0,Weekend,13
2022-01-14,Hilsha Fry,23,380,480,144.0,7728.0,Weekend,13
2022-01-14,Dal Makhani,43,320,180,54.0,5418.0,Weekend,13
2022-01-14,Mughlai Paratha,82,500,120,36.0,6888.0,Weekend,13
2022-01-14,Mutton Korma,23,280,420,126.0,6762.0,Weekend,13
2022-01-15,Mutton Biryani,52,450,550,165.0,20020.0,Weekend,14
2022-01-15,Hilsha Fry,26,380,480,144.0,8736.0,Weekend,14
2022-01-15,Dal Makhani,31,320,180,54.0,3906.0,Weekend,14
2022-01-15,Mughlai Paratha,51,500,120,36.0,4284.0,Weekend,14
2022-01-15,Mutton Korma,25,280,420,126.0,7350.0,Weekend,14
2022-01-16,Mutton Biryani,33,450,550,165.0,12705.0,Weekend,15
2022-01-16,Hilsha Fry,22,380,480,144.0,7392.0,Weekend,15
2022-01-16,Dal Makhani,32,320,180,54.0,4032.0,Weekend,15
2022-01-16,Mughlai Paratha,54,500,120,36.0,4536.0,Weekend,15
2022-01-16,Mutton Korma,21,280,420,126.0,6174.0,Weekend,15
2022-01-17,Mutton Biryani,39,450,550,165.0,15015.0,Weekday,16
2022-01-17,Hilsha Fry,16,380,480,144.0,5376.0,Weekday,16
2022-01-17,Dal Makhani,30,320,180,54.0,3780.0,Weekday,16
2022-01-17,Mughlai Paratha,32,500,120,36.0,2688.0,Weekday,16
2022-01-17,Mutton Korma,20,280,420,126.0,5880.0,Weekday,16
2022-01-18,Mutton Biryani,35,450,550,165.0,13475.0,Weekday,17
2022-01-18,Hilsha Fry,18,380,480,144.0,6048.0,Weekday,17
2022-01-18,Dal Makhani,29,320,180,54.0,3654.0,Weekday,17
2022-01-18,Mughlai Paratha,29,500,120,36.0,2436.0,Weekday,17
2022-01-18,Mutton Korma,20,280,420,126.0,5880.0,Weekday,17
2022-01-19,Mutton Biryani,35,450,550,165.0,13475.0,Weekday,18
2022-01-19,Hilsha Fry,28,380,480,144.0,9408.0,Weekday,18
2022-01-19,Dal Makhani,20,320,180,54.0,2520.0,Weekday,18
2022-01-19,Mughlai Paratha,56,500,120,36.0,4704.0,Weekday,18
2022-01-19,Mutton Korma,24,280,420,126.0,7056.0,Weekday,18
2022-01-20,Mutton Biryani,47,450,550,165.0,18095.0,Weekday,19
2022-01-20,Hilsha Fry,20,380,480,144.0,6720.0,Weekday,19
2022-01-20,Dal Makhani,23,320,180,54.0,2898.0,Weekday,19
2022-01-20,Mughlai Paratha,45,500,120,36.0,3780.0,Weekday,19
2022-01-20,Mutton Korma,18,280,420,126.0,5292.0,Weekday,19
2022-01-21,Mutton Biryani,50,450,550,165.0,19250.0,Weekend,20
2022-01-21,Hilsha Fry,32,380,480,144.0,10752.0,Weekend,20
2022-01-21,Dal Makhani,52,320,180,54.0,6552.0,Weekend,20
2022-01-21,Mughlai Paratha,70,500,120,36.0,5880.0,Weekend,20
2022-01-21,Mutton Korma,26,280,420,126.0,7644.0,Weekend,20
2022-01-22,Mutton Biryani,31,450,550,165.0,11935.0,Weekend,21
2022-01-22,Hilsha Fry,23,380,480,144.0,7728.0,Weekend,21
2022-01-22,Dal Makhani,20,320,180,54.0,2520.0,Weekend,21
2022-01-22,Mughlai Paratha,31,500,120,36.0,2604.0,Weekend,21
2022-01-22,Mutton Korma,45,280,420,126.0,13230.0,Weekend,21
2022-01-23,Mutton Biryani,26,450,550,165.0,10010.0,Weekend,22
2022-01-23,Hilsha Fry,27,380,480,144.0,9072.0,Weekend,22
2022-01-23,Dal Makhani,22,320,180,54.0,2772.0,Weekend,22
2022-01-23,Mughlai Paratha,39,500,120,36.0,3276.0,Weekend,22
2022-01-23,Mutton Korma,15,280,420,126.0,4410.0,Weekend,22
2022-01-24,Mutton Biryani,40,450,550,165.0,15400.0,Weekday,23
2022-01-24,Hilsha Fry,19,380,480,144.0,6384.0,Weekday,23
2022-01-24,Dal Makhani,36,320,180,54.0,4536.0,Weekday,23
2022-01-24,Mughlai Paratha,36,500,120,36.0,3024.0,Weekday,23
2022-01-24,Mutton Korma,30,280,420,126.0,8820.0,Weekday,23
2022-01-25,Mutton Biryani,42,450,550,165.0,16170.0,Weekday,24
2022-01-25,Hilsha Fry,14,380,480,144.0,4704.0,Weekday,24
2022-01-25,Dal Makhani,29,320,180,54.0,3654.0,Weekday,24
2022-01-25,Mughlai Paratha,33,500,120,36.0,2772.0,Weekday,24
2022-01-25,Mutton Korma,18,280,420,126.0,5292.0,Weekday,24
2022-01-26,Mutton Biryani,33,450,550,165.0,12705.0,Weekday,25
2022-01-26,Hilsha Fry,25,380,480,144.0,8400.0,Weekday,25
2022-01-26,Dal Makhani,34,320,180,54.0,4284.0,Weekday,25
2022-01-26,Mughlai Paratha,39,500,120,36.0,3276.0,Weekday,25
2022-01-26,Mutton Korma,28,280,420,126.0,8232.0,Weekday,25
2022-01-27,Mutton Biryani,36,450,550,165.0,13860.0,Weekday,26
2022-01-27,Hilsha Fry,21,380,480,144.0,7056.0,Weekday,26
2022-01-27,Dal Makhani,21,320,180,54.0,2646.0,Weekday,26
2022-01-27,Mughlai Paratha,43,500,120,36.0,3612.0,Weekday,26
2022-01-27,Mutton Korma,41,280,420,126.0,12054.0,Weekday,26
2022-01-28,Mutton Biryani,40,450,550,165.0,15400.0,Weekend,27
2022-01-28,Hilsha Fry,32,380,480,144.0,10752.0,Weekend,27
2022-01-28,Dal Makhani,33,320,180,54.0,4158.0,Weekend,27
2022-01-28,Mughlai Paratha,86,500,120,36.0,7224.0,Weekend,27
2022-01-28,Mutton Korma,51,280,420,126.0,14994.0,Weekend,27
2022-01-29,Mutton Biryani,56,450,550,165.0,21560.0,Weekend,28
2022-01-29,Hilsha Fry,41,380,480,144.0,13776.0,Weekend,28
2022-01-29,Dal Makhani,35,320,180,54.0,4410.0,Weekend,28
2022-01-29,Mughlai Paratha,79,500,120,36.0,6636.0,Weekend,28
2022-01-29,Mutton Korma,26,280,420,126.0,7644.0,Weekend,28
2022-01-30,Mutton Biryani,43,450,550,165.0,16555.0,Weekend,29
2022-01-30,Hilsha Fry,28,380,480,144.0,9408.0,Weekend,29
2022-01-30,Dal Makhani,23,320,180,54.0,2898.0,Weekend,29
2022-01-30,Mughlai Paratha,52,500,120,36.0,4368.0,Weekend,29
2022-01-30,Mutton Korma,18,280,420,126.0,5292.0,Weekend,29
2022-01-31,Mutton Biryani,22,450,550,165.0,8470.0,Weekday,30
2022-01-31,Hilsha Fry,15,380,480,144.0,5040.0,Weekday,30
2022-01-31,Dal Makhani,20,320,180,54.0,2520.0,Weekday,30
2022-01-31,Mughlai Paratha,32,500,120,36.0,2688.0,Weekday,30
2022-01-31,Mutton Korma,23,280,420,126.0,6762.0,Weekday,30
2022-02-01,Mutton Biryani,44,450,550,165.0,16940.0,Weekday,31
2022-02-01,Hilsha Fry,20,380,480,144.0,6720.0,Weekday,31
2022-02-01,Dal Makhani,22,320,180,54.0,2772.0,Weekday,31
2022-02-01,Mughlai Paratha,49,500,120,36.0,4116.0,Weekday,31
2022-02-01,Mutton Korma,22,280,420,126.0,6468.0,Weekday,31
2022-02-02,Mutton Biryani,33,450,550,165.0,12705.0,Weekday,32
2022-02-02,Hilsha Fry,23,380,480,144.0,7728.0,Weekday,32
2022-02-02,Dal Makhani,29,320,180,54.0,3654.0,Weekday,32
2022-02-02,Mughlai Paratha,36,500,120,36.0,3024.0,Weekday,32
2022-02-02,Mutton Korma,22,280,420,126.0,6468.0,Weekday,32
2022-02-03,Mutton Biryani,39,450,550,165.0,15015.0,Weekday,33
2022-02-03,Hilsha Fry,20,380,480,144.0,6720.0,Weekday,33
2022-02-03,Dal Makhani,25,320,180,54.0,3150.0,Weekday,33
2022-02-03,Mughlai Paratha,46,500,120,36.0,3864.0,Weekday,33
2022-02-03,Mutton Korma,26,280,420,126.0,7644.0,Weekday,33
2022-02-04,Mutton Biryani,47,450,550,165.0,18095.0,Weekend,34
2022-02-04,Hilsha Fry,38,380,480,144.0,12768.0,Weekend,34
2022-02-04,Dal Makhani,42,320,180,54.0,5292.0,Weekend,34
2022-02-04,Mughlai Paratha,48,500,120,36.0,4032.0,Weekend,34
2022-02-04,Mutton Korma,42,280,420,126.0,12348.0,Weekend,34
2022-02-05,Mutton Biryani,35,450,550,165.0,13475.0,Weekend,35
2022-02-05,Hilsha Fry,49,380,480,144.0,16464.0,Weekend,35
2022-02-05,Dal Makhani,39,320,180,54.0,4914.0,Weekend,35
2022-02-05,Mughlai Paratha,55,500,120,36.0,4620.0,Weekend,35
2022-02-05,Mutton Korma,38,280,420,126.0,11172.0,Weekend,35
2022-02-06,Mutton Biryani,43,450,550,165.0,16555.0,Weekend,36
2022-02-06,Hilsha Fry,29,380,480,144.0,9744.0,Weekend,36
2022-02-06,Dal Makhani,29,320,180,54.0,3654.0,Weekend,36
2022-02-06,Mughlai Paratha,54,500,120,36.0,4536.0,Weekend,36
2022-02-06,Mutton Korma,28,280,420,126.0,8232.0,Weekend,36
2022-02-07,Mutton Biryani,33,450,550,165.0,12705.0,Weekday,37
2022-02-07,Hilsha Fry,14,380,480,144.0,4704.0,Weekday,37
2022-02-07,Dal Makhani,27,320,180,54.0,3402.0,Weekday,37
2022-02-07,Mughlai Paratha,19,500,120,36.0,1596.0,Weekday,37
2022-02-07,Mutton Korma,19,280,420,126.0,5586.0,Weekday,37
2022-02-08,Mutton Biryani,42,450,550,165.0,16170.0,Weekday,38
2022-02-08,Hilsha Fry,23,380,480,144.0,7728.0,Weekday,38
2022-02-08,Dal Makhani,27,320,180,54.0,3402.0,Weekday,38
2022-02-08,Mughlai Paratha,35,500,120,36.0,2940.0,Weekday,38
2022-02-08,Mutton Korma,19,280,420,126.0,5586.0,Weekday,38
2022-02-09,Mutton Biryani,28,450,550,165.0,10780.0,Weekday,39
2022-02-09,Hilsha Fry,15,380,480,144.0,5040.0,Weekday,39
2022-02-09,Dal Makhani,14,320,180,54.0,1764.0,Weekday,39
2022-02-09,Mughlai Paratha,54,500,120,36.0,4536.0,Weekday,39
2022-02-09,Mutton Korma,33,280,420,126.0,9702.0,Weekday,39
2022-02-10,Mutton Biryani,28,450,550,165.0,10780.0,Weekday,40
2022-02-10,Hilsha Fry,26,380,480,144.0,8736.0,Weekday,40
2022-02-10,Dal Makhani,20,320,180,54.0,2520.0,Weekday,40
2022-02-10,Mughlai Paratha,47,500,120,36.0,3948.0,Weekday,40
2022-02-10,Mutton Korma,17,280,420,126.0,4998.0,Weekday,40
2022-02-11,Mutton Biryani,61,450,550,165.0,23485.0,Weekend,41
2022-02-11,Hilsha Fry,34,380,480,144.0,11424.0,Weekend,41
2022-02-11,Dal Makhani,30,320,180,54.0,3780.0,Weekend,41
2022-02-11,Mughlai Paratha,76,500,120,36.0,6384.0,Weekend,41
2022-02-11,Mutton Korma,51,280,420,126.0,14994.0,Weekend,41
2022-02-12,Mutton Biryani,44,450,550,165.0,16940.0,Weekend,42
2022-02-12,Hilsha Fry,29,380,480,144.0,9744.0,Weekend,42
2022-02-12,Dal Makhani,37,320,180,54.0,4662.0,Weekend,42
2022-02-12,Mughlai Paratha,61,500,120,36.0,5124.0,Weekend,42
2022-02-12,Mutton Korma,42,280,420,126.0,12348.0,Weekend,42
2022-02-13,Mutton Biryani,42,450,550,165.0,16170.0,Weekend,43
2022-02-13,Hilsha Fry,12,380,480,144.0,4032.0,Weekend,43
2022-02-13,Dal Makhani,35,320,180,54.0,4410.0,Weekend,43
2022-02-13,Mughlai Paratha,42,500,120,36.0,3528.0,Weekend,43
2022-02-13,Mutton Korma,33,280,420,126.0,9702.0,Weekend,43
2022-02-14,Mutton Biryani,36,450,550,165.0,13860.0,Weekday,44
2022-02-14,Hilsha Fry,27,380,480,144.0,9072.0,Weekday,44
2022-02-14,Dal Makhani,24,320,180,54.0,3024.0,Weekday,44
2022-02-14,Mughlai Paratha,31,500,120,36.0,2604.0,Weekday,44
2022-02-14,Mutton Korma,25,280,420,126.0,7350.0,Weekday,44
2022-02-15,Mutton Biryani,40,450,550,165.0,15400.0,Weekday,45
2022-02-15,Hilsha Fry,26,380,480,144.0,8736.0,Weekday,45
2022-02-15,Dal Makhani,32,320,180,54.0,4032.0,Weekday,45
2022-02-15,Mughlai Paratha,46,500,120,36.0,3864.0,Weekday,45
2022-02-15,Mutton Korma,28,280,420,126.0,8232.0,Weekday,45
2022-02-16,Mutton Biryani,27,450,550,165.0,10395.0,Weekday,46
