transaction_date,outlet,meal_name,covers,unit_price_taka,gross_revenue_taka,day_name,week_number,month,day_idx
01/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,73,320,23360,Friday,53,Jan-2021,0
01/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,71,250,17750,Friday,53,Jan-2021,0
01/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,28,480,13440,Friday,53,Jan-2021,0
01/01/2021,Star Kabab - Purana Paltan,Kabab Roll,70,150,10500,Friday,53,Jan-2021,0
01/01/2021,Star Kabab - Purana Paltan,Chicken Boti,34,200,6800,Friday,53,Jan-2021,0
02/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,76,320,24320,Saturday,53,Jan-2021,1
02/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,53,250,13250,Saturday,53,Jan-2021,1
02/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,32,480,15360,Saturday,53,Jan-2021,1
02/01/2021,Star Kabab - Purana Paltan,Kabab Roll,64,150,9600,Saturday,53,Jan-2021,1
02/01/2021,Star Kabab - Purana Paltan,Chicken Boti,91,200,18200,Saturday,53,Jan-2021,1
03/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,51,320,16320,Sunday,53,Jan-2021,2
03/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,34,250,8500,Sunday,53,Jan-2021,2
03/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,17,480,8160,Sunday,53,Jan-2021,2
03/01/2021,Star Kabab - Purana Paltan,Kabab Roll,50,150,7500,Sunday,53,Jan-2021,2
03/01/2021,Star Kabab - Purana Paltan,Chicken Boti,35,200,7000,Sunday,53,Jan-2021,2
04/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,40,320,12800,Monday,1,Jan-2021,3
04/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,29,250,7250,Monday,1,Jan-2021,3
04/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,23,480,11040,Monday,1,Jan-2021,3
04/01/2021,Star Kabab - Purana Paltan,Kabab Roll,50,150,7500,Monday,1,Jan-2021,3
04/01/2021,Star Kabab - Purana Paltan,Chicken Boti,41,200,8200,Monday,1,Jan-2021,3
05/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,58,320,18560,Tuesday,1,Jan-2021,4
05/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,28,250,7000,Tuesday,1,Jan-2021,4
05/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,11,480,5280,Tuesday,1,Jan-2021,4
05/01/2021,Star Kabab - Purana Paltan,Kabab Roll,61,150,9150,Tuesday,1,Jan-2021,4
05/01/2021,Star Kabab - Purana Paltan,Chicken Boti,19,200,3800,Tuesday,1,Jan-2021,4
06/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,43,320,13760,Wednesday,1,Jan-2021,5
06/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,45,250,11250,Wednesday,1,Jan-2021,5
06/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,21,480,10080,Wednesday,1,Jan-2021,5
06/01/2021,Star Kabab - Purana Paltan,Kabab Roll,56,150,8400,Wednesday,1,Jan-2021,5
06/01/2021,Star Kabab - Purana Paltan,Chicken Boti,19,200,3800,Wednesday,1,Jan-2021,5
07/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,47,320,15040,Thursday,1,Jan-2021,6
07/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,39,250,9750,Thursday,1,Jan-2021,6
07/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,14,480,6720,Thursday,1,Jan-2021,6
07/01/2021,Star Kabab - Purana Paltan,Kabab Roll,85,150,12750,Thursday,1,Jan-2021,6
07/01/2021,Star Kabab - Purana Paltan,Chicken Boti,30,200,6000,Thursday,1,Jan-2021,6
08/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,36,320,11520,Friday,1,Jan-2021,7
08/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,30,250,7500,Friday,1,Jan-2021,7
08/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,35,480,16800,Friday,1,Jan-2021,7
08/01/2021,Star Kabab - Purana Paltan,Kabab Roll,103,150,15450,Friday,1,Jan-2021,7
08/01/2021,Star Kabab - Purana Paltan,Chicken Boti,87,200,17400,Friday,1,Jan-2021,7
09/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,55,320,17600,Saturday,1,Jan-2021,8
09/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,41,250,10250,Saturday,1,Jan-2021,8
09/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,37,480,17760,Saturday,1,Jan-2021,8
09/01/2021,Star Kabab - Purana Paltan,Kabab Roll,62,150,9300,Saturday,1,Jan-2021,8
09/01/2021,Star Kabab - Purana Paltan,Chicken Boti,45,200,9000,Saturday,1,Jan-2021,8
10/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,56,320,17920,Sunday,1,Jan-2021,9
10/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,37,250,9250,Sunday,1,Jan-2021,9
10/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,23,480,11040,Sunday,1,Jan-2021,9
10/01/2021,Star Kabab - Purana Paltan,Kabab Roll,65,150,9750,Sunday,1,Jan-2021,9
10/01/2021,Star Kabab - Purana Paltan,Chicken Boti,38,200,7600,Sunday,1,Jan-2021,9
11/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,34,320,10880,Monday,2,Jan-2021,10
11/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,42,250,10500,Monday,2,Jan-2021,10
11/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,17,480,8160,Monday,2,Jan-2021,10
11/01/2021,Star Kabab - Purana Paltan,Kabab Roll,61,150,9150,Monday,2,Jan-2021,10
11/01/2021,Star Kabab - Purana Paltan,Chicken Boti,44,200,8800,Monday,2,Jan-2021,10
12/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,27,320,8640,Tuesday,2,Jan-2021,11
12/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,45,250,11250,Tuesday,2,Jan-2021,11
12/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,13,480,6240,Tuesday,2,Jan-2021,11
12/01/2021,Star Kabab - Purana Paltan,Kabab Roll,59,150,8850,Tuesday,2,Jan-2021,11
12/01/2021,Star Kabab - Purana Paltan,Chicken Boti,47,200,9400,Tuesday,2,Jan-2021,11
13/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,55,320,17600,Wednesday,2,Jan-2021,12
13/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,24,250,6000,Wednesday,2,Jan-2021,12
13/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,17,480,8160,Wednesday,2,Jan-2021,12
13/01/2021,Star Kabab - Purana Paltan,Kabab Roll,54,150,8100,Wednesday,2,Jan-2021,12
13/01/2021,Star Kabab - Purana Paltan,Chicken Boti,48,200,9600,Wednesday,2,Jan-2021,12
14/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,51,320,16320,Thursday,2,Jan-2021,13
14/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,39,250,9750,Thursday,2,Jan-2021,13
14/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,20,480,9600,Thursday,2,Jan-2021,13
14/01/2021,Star Kabab - Purana Paltan,Kabab Roll,72,150,10800,Thursday,2,Jan-2021,13
14/01/2021,Star Kabab - Purana Paltan,Chicken Boti,73,200,14600,Thursday,2,Jan-2021,13
15/01/2021,Star Kabab - Purana Paltan,Beef Shami Kabab,43,320,13760,Friday,2,Jan-2021,14
15/01/2021,Star Kabab - Purana Paltan,Chicken Tikka,61,250,15250,Friday,2,Jan-2021,14
15/01/2021,Star Kabab - Purana Paltan,Mixed Grill Platter,42,480,20160,Friday,2,Jan-2021,14
15/01/2021,Star Kabab - Purana Paltan,Kabab Roll,98,150,14700,Friday,2,Jan-2021,14
